UPC,Mercado,Sub-Mercado,Atributo Categoria,Laboratorio,Laboratorio Completo,DESCRIPCION,SUN FILE,PAIS,MINERAL / NO MINERAL,TRACKER,TRACKER DESCRIPCION
219715,FACE,ACNE,ACNE CLEANS,OTROS LAB,GLENMARK,ACNIPOP JBN LIQD DERMOLIMPIA 40ML,,MEXICO,,,
219720,FACE,ACNE,ACNE CLEANS,OTROS LAB,GLENMARK,ACNIPOP LIQD FACE WA SH 250 ML,,MEXICO,,,
233801,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,ISIS,HIDROGEL 1 50 ML,,CAM,,,
234601,FACE,ANTI-AGE,ANTI-AGE,EUCERIN,BEIERSDORF,CR.FAC15 DIA 1 50 ML,,CAM,,,
234602,FACE,ANTI-AGE,ANTI-AGE,EUCERIN,BEIERSDORF,CR.FAC.NOCHE 1 50 ML,,CAM,,,
234603,FACE,ANTI-AGE,ANTI-AGE,EUCERIN,BEIERSDORF,CR.C/OJO F10 1 15 ML,,CAM,,,
234604,FACE,ANTI-AGE,ANTI-AGE,EUCERIN,BEIERSDORF,CR A/EDAD CONC 6 5 ML,,CAM,,,
234605,FACE,ANTI-AGE,ANTI-AGE,EUCERIN,BEIERSDORF,CR FLUI.FA/D CONC 1 50 M,,CAM,,,
234606,FACE,ANTI-AGE,ANTI-AGE,EUCERIN,BEIERSDORF,CR CC T MED 1 50 ML,,CAM,,,
234607,FACE,ANTI-AGE,ANTI-AGE,EUCERIN,BEIERSDORF,CR CC T CLAR 1 50 ML,,CAM,,,
234608,FACE,ANTI-AGE,ANTI-AGE,EUCERIN,BEIERSDORF,CR F P/NMF15 1 50 ML,,CAM,,,
234609,FACE,ANTI-AGE,ANTI-AGE,EUCERIN,BEIERSDORF,SER V/C BOOS 1 8 ML,,CAM,,,
234609,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,RESTO,DERMIX OOT SAKIL CRA DESPIG 40GR,,MEXICO,,,
234610,FACE,ANTI-AGE,ANTI-AGE,EUCERIN,BEIERSDORF,CR F D T F30 1 50 ML,,CAM,,,
234611,FACE,ANTI-AGE,ANTI-AGE,EUCERIN,BEIERSDORF,CR NO SE PEE 1 30 ML,,CAM,,,
234612,FACE,ANTI-AGE,ANTI-AGE,EUCERIN,BEIERSDORF,CR ELA D F15 1 50 ML,,CAM,,,
234613,FACE,ANTI-AGE,ANTI-AGE,EUCERIN,BEIERSDORF,CR ELA NOCHE 1 50 ML,,CAM,,,
234614,FACE,ANTI-AGE,ANTI-AGE,EUCERIN,BEIERSDORF,CR ELA C/OJO 1 15 ML,,CAM,,,
234616,FACE,ACNE,ACNE CLEANS,EUCERIN,EUCERIN,EUCERIN HYALUR.FIL,,CAM,,,
245015,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,RESTO,ACLAR CRA DESPIGMENTANTE TOPICA 30GR,,MEXICO,,,
245020,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,RESTO,ACLAR DUO TUBO 30 GR,,MEXICO,,,
245030,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,RESTO,ACLAR NUITE TUBO 30 GR,,MEXICO,,,
245100,FACE,ACNE,ACNE TREATMENT,OTROS LAB,STIEFEL,ACNAID CRA HIDRAT P/GRASA 50GR,,MEXICO,,,
245101,FACE,ACNE,ACNE CLEANS,OTROS LAB,STIEFEL,ACNAID ESPUMA P/GRASA 125ML,,MEXICO,,,
245102,FACE,ACNE,ACNE CLEANS,OTROS LAB,STIEFEL,ACNAID CRA EXFOLIANTE P/GRASA 60GR,,MEXICO,,,
245103,FACE,ACNE,ACNE CLEANS,OTROS LAB,STIEFEL,ACNAID CRA EXFOLIANTE P/GRASA 30GR,,MEXICO,,,
245523,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,RESTO,ACM ROSAKALM CRA A/ROJECES 40ML,,MEXICO,,,
250105,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,ACNISEC LOCION SECANTE 20 ML,,MEXICO,,,
250200,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,RESTO,NOREVA ACTIPUR CRA EXPERT SENSI CLAMANTE 40ML,,MEXICO,,,
250205,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,NOREVA ACTIPUR CRA A/IMPERFECCIONES 30ML,,MEXICO,,,
250210,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,NOREVA ACTIPUR CRA COLOR CLARO 30ML,,MEXICO,,,
250215,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,NOREVA ACTIPUR CRA COLOR DORADO 30ML,,MEXICO,,,
250220,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,NOREVA ACTIPUR CRA-GEL DE LIMP 150ML,,MEXICO,,,
250225,FACE,ACNE,ACNE CLEANS,OTROS LAB,RESTO,NOREVA ACTIPUR ESPUMA DERMOLIMP 150ML,,MEXICO,,,
250230,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,NOREVA ACTIPUR GEL FISIO REGULADOR 30ML,,MEXICO,,,
250232,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,NOREVA ACTIPUR CRA MATIFICANTE FAC 30ML,,MEXICO,,,
250235,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,NOREVA ACTIPUR CRA PURIFICANTE 30ML,,MEXICO,,,
251205,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,RESTO,ACTIAGE SERUM INTELLIGENT 20 ML,,MEXICO,,,
264401,FACE,ACNE,ACNE TREATMENT,OTROS LAB,ISIS,CREMA 1 30 ML,,CAM,,,
264600,BODY,BODY TREATMENT,DRY SKIN TREATMENT,OTROS LAB,RESTO,HIDRADERMIN CRA MANOS 80ML,,MEXICO,,,
264601,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,RESTO,HIDRADERMIN LECHE CORP 250ML,,MEXICO,,,
264700,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SESDERMA,OCEANSKIN CRA NOURISHING 50ML,,MEXICO,,,
264701,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,SESDERMA,OCEANSKIN GEL LIMPIADOR 200ML,,MEXICO,,,
264702,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SESDERMA,OCEANSKIN SERUM CONT/OJOS 30ML,,MEXICO,,,
264800,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SESDERMA,SERENITY CRA 50ML,,MEXICO,,,
264801,BODY,BODY TREATMENT,DRY SKIN TREATMENT,OTROS LAB,ABL PHARMA,CREMA 1 200 ML,,CAM,,,
264801,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SESDERMA,SERENITY SERUM CONT/OJOS 30ML,,MEXICO,,,
264802,BODY,BODY TREATMENT,DRY SKIN TREATMENT,OTROS LAB,ABL PHARMA,LECHE EMOL 1 200 ML,,CAM,,,
264802,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SESDERMA,SERENITY CRA FACE & PILLOW MIST 100ML,,MEXICO,,,
264803,BODY,BODY CLEANS,SENSITIVE SKIN CLEANS,OTROS LAB,ABL PHARMA,BANO TRATANT 1 250 ML,,CAM,,,
265102,BODY,BODY CLEANS,HAIR,OTROS LAB,ABL PHARMA,SHAMPOO-CREM 1 200 ML,,CAM,,,
269401,FACE,ACNE,ACNE CLEANS,OTROS LAB,SUIZOS,JABON 1 100 G,,CAM,,,
269420,FACE,ACNE,ACNE TREATMENT,OTROS LAB,SUIZOS,CREMA 1 20 G,,CAM,,,
277402,SUN,SUN FACE,SUN FACE NON TINTED,IND FARM CANTABRIA,IND FARM CANTABRIA,CREMA FPS50 1 50 ML,Sensitive Skin/ basic sun protection,CAM,,,
277403,SUN,SUN FACE,SUN FACE NON TINTED,IND FARM CANTABRIA,IND FARM CANTABRIA,CREMA FPS90 1 50 ML     ,Normal to Acne Prone Skin,CAM,,,
277404,SUN,SUN FACE,SUN FACE NON TINTED,IND FARM CANTABRIA,IND FARM CANTABRIA,GEL FPS50 1 50 ML,Sensitive Skin/ basic sun protection,CAM,,,
277407,SUN,SUN FACE,SUN FACE NON TINTED,IND FARM CANTABRIA,IND FARM CANTABRIA,GEL UVA FP90 1 50 ML,Sensitive Skin/ basic sun protection,CAM,,,
277410,SUN,SUN FACE,SUN FACE TINTED,IND FARM CANTABRIA,IND FARM CANTABRIA,GC C BRO F50 1 50 ML,Sensitive Skin/ basic sun protection,CAM,,,
277411,SUN,SUN FACE,SUN FACE TINTED,IND FARM CANTABRIA,IND FARM CANTABRIA,GC C LIG F50 1 50 ML,Sensitive Skin/ basic sun protection,CAM,,,
278101,BODY,BODY TREATMENT,ATOPIC SKIN TREATMENT,OTROS LAB,ISIS,CREMA 1 200 ML,,CAM,,,
278301,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,ISIS,EMULS 1 40 ML,,CAM,,,
278401,BODY,BODY TREATMENT,ATOPIC SKIN TREATMENT,OTROS LAB,ISIS,CREMA 1 200 ML,,CAM,,,
279201,FACE,ACNE,ACNE CLEANS,OTROS LAB,ISIS,SOLN LIMP. 1 250 ML,,CAM,,,
284600,SUN,SUN FACE,SUN FACE TINTED,OTROS LAB,RESTO,ACM MEDISUN CRA COLOR CLARO F50 40ML,Sensitive Skin/ basic sun protection,MEXICO,,,
284601,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,RESTO,ACM MEDISUN CRA FAC F50 40ML,Sensitive Skin/ basic sun protection,MEXICO,,,
284602,SUN,SUN FACE,SUN FACE TINTED,OTROS LAB,RESTO,ACM MEDISUN CRA MINERAL COLOR CLARO F50 40ML,Sensitive Skin/ basic sun protection,MEXICO,,,
284603,SUN,SUN BODY,SUN BODY,OTROS LAB,RESTO,ACM MEDISUN SPRAY BLOQ ROSTRO Y CUERPO F50 2,,MEXICO,,,
284604,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,RESTO,ACM MEDISUN GEL BLOQ MATIF F50 40ML,Normal to Acne Prone Skin,MEXICO,,,
284605,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,RESTO,ACM MEDISUN GEL BLOQ SOLAR F50 40ML,Normal to Acne Prone Skin,MEXICO,,,
296220,FACE,ANTI-AGE,ANTI-AGE,LA ROCHE POSAY,LA ROCHE POSAY,CREMA 5 % 1 30 ML,,CAM,,,
296221,FACE,ANTI-AGE,ANTI-AGE,LA ROCHE POSAY,LA ROCHE POSAY,CREMA OJOS 5 % 1 15 ML,,CAM,,,
301801,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,DERMAPHARM,CREMA 1 30 G,,CAM,,,
305717,FACE,ACNE,ACNE CLEANS,GALDERMA,GALDERMA,DERMOTIVIN CONTROL KIT SABONETE LIQUIDO 120ML +R$10 SCRUB SABONETE CREMOSO ESFOLIANTE 60G x 1,,BRASIL,,,
305718,FACE,ACNE,ACNE CLEANS,GALDERMA,GALDERMA,DERMOTIVIN ORIGINA KIT SABONETE LIQUIDO 120ML +R$10 SCRUB SABONETE CREMOSO ESFOLIANTE 60G x 1,,BRASIL,,,
316101,BODY,BODY TREATMENT,BABY TREATMENT,DERMIX,DERMIX MEXICO,CREMA 1 120 G,,CAM,,,
316102,BODY,BODY CLEANS,BABY CLEANS,OTROS LAB,DERMIX MEXICO,JABON BARRA 1 125 G,,CAM,,,
316103,BODY,BODY CLEANS,BABY CLEANS,DERMIX,DERMIX MEXICO,JABON BARRA 1 100 G,,CAM,,,
316104,BODY,BODY TREATMENT,BABY TREATMENT,DERMIX,DERMIX MEXICO,CREMA 1 150 G,,CAM,,,
319901,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,SESDERMA,SESDERMA,CR.SCRUB 1 50 ML,,CAM,,,
319903,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,SESDERMA,SESDERMA,GEL HIDRATAN 1 50 ML,,CAM,,,
319904,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,SESDERMA,SESDERMA,CREMA 1 50 ML,,CAM,,,
320100,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,RESTO,TECHSANTE CRA BLOQ SOLAR P/NORMAL/SENS F50,Normal to Acne Prone Skin,MEXICO,,,
322604,BODY,BODY CLEANS,HAIR,VICHY,VICHY,CHMP.ENERG. 1 200 ML,,CAM,,,
322703,SUN,SUN FACE,SUN FACE TINTED,VICHY,VICHY,E.F T/SE F50 1 50 ML,Normal to Acne Prone Skin,CAM,,,
322707,SUN,SUN FACE,SUN FACE TINTED,VICHY,VICHY,E.F T/SE F30 1 50 ML,Normal to Acne Prone Skin,CAM,,,
322709,SUN,SUN BODY,SUN BODY,VICHY,VICHY,LECHE.CO.F50 1 300 ML,,CAM,,,
323001,FACE,ACNE,ACNE TREATMENT,VICHY,VICHY,TR.HID.A/IMP 1 50 ML,,CAM,,,
323003,FACE,ACNE,ACNE CLEANS,VICHY,VICHY,GEL EXFOLIA. 1 200 ML,,CAM,,,
323004,FACE,ACNE,ACNE CLEANS,VICHY,VICHY,GEL.LIMPIAD. 1 200 ML,,CAM,,,
323005,FACE,ACNE,ACNE TREATMENT,VICHY,VICHY,STICK CORRE. 1 .25 G,,CAM,,,
323006,FACE,ACNE,ACNE TREATMENT,VICHY,VICHY,TONI.ASTRING 1 200 ML,,CAM,,,
323007,FACE,ACNE,ACNE CLEANS,VICHY,VICHY,GEL EXFOLIA. 1 125 ML,,CAM,,,
323008,FACE,ACNE,ACNE CLEANS,VICHY,VICHY,BARRA 1 80 G,,CAM,,,
323009,FACE,ACNE,ACNE TREATMENT,VICHY,VICHY,CR SKIN BALA 1 40 ML,,CAM,,,
323010,FACE,ACNE,ACNE CLEANS,VICHY,VICHY,BARRA 1 70 G,,CAM,,,
323701,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,CR.NOCHE 1 50 ML,,CAM,,,
323702,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,CR.CONT.OJOS 1 15 ML,,CAM,,,
323801,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,CR.C/OJO-LAB 1 15 ML,,CAM,,,
323803,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,CREMA DIA 1 50 ML,,CAM,,,
323804,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,CR.NOCHE 1 50 ML,,CAM,,,
323805,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,SERUM 1 30 ML,,CAM,,,
323806,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,CR ROSE PLAT 1 50 ML,,CAM,,,
323807,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,CR COMPL SUS 1 50 ML,,CAM,,,
323901,FACE,SENSITIVE SKIN,SENSITIVE SKIN,VICHY,VICHY,CR.R/ON OJOS 1 15 ML,,CAM,,,
323902,FACE,SENSITIVE SKIN,SENSITIVE SKIN,VICHY,VICHY,CR.LIGEP/SEC 1 50 ML,,CAM,,,
333610,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,RESTO,ALISS CRA ANTIARRUGAS 50GR,,MEXICO,,,
333700,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,RESTO,ANTI-OXID CRA FAC REGENERANTE 50ML,,MEXICO,,,
341601,BODY,BODY CLEANS,HAIR,OTROS LAB,ABL PHARMA,CHMP. 1 150 ML,,CAM,,,
363201,FACE,SENSITIVE SKIN,SENSITIVE SKIN,EUCERIN,BEIERSDORF,CR HIDR LIGH 1 40 ML,,CAM,,,
363202,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SESDERMA,DAESES AMP 5X2ML,,MEXICO,,,
363203,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SESDERMA,DAESES KIT 2014 CRA 50ML+CONT/OJOS 30ML,,MEXICO,,,
363204,FACE,SENSITIVE SKIN,SENSITIVE SKIN,EUCERIN,BEIERSDORF,CR P/NOR MIX 1 50 ML,,CAM,,,
363204,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SESDERMA,DAESES AMP SERUM EFECTO LIFTING 2ML C/5,,MEXICO,,,
363205,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SESDERMA,DAESES CRA CONT/OJOS Y LABIOS 15ML,,MEXICO,,,
363210,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SESDERMA,DAESES CONT DE OJOS Y LABIOS 30ML,,MEXICO,,,
363220,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SESDERMA,DAESES CRA GEL REAFIRMANTE FACIAL 50ML,,MEXICO,,,
363230,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SESDERMA,DAESES CRA LIFTING 50ML,,MEXICO,,,
363240,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SESDERMA,DAESES GEL REAFIRMANTE DE CUELLO 50ML,,MEXICO,,,
363241,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SESDERMA,DAESES SERUM REAF LIPOSOMAL 30ML,,MEXICO,,,
363243,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,RESTO,DAESES AMP LIFTING SERUM C/5PZS,,MEXICO,,,
363701,FACE,ACNE,ACNE TREATMENT,LA ROCHE POSAY,LA ROCHE POSAY,TRA.HIDROCOM 1 40 ML,,CAM,,,
363901,FACE,ACNE,ACNE TREATMENT,LA ROCHE POSAY,LA ROCHE POSAY,TRAT.MATIFIC 1 40 ML,,CAM,,,
365202,FACE,ANTI-AGE,ANTI-AGE,LA ROCHE POSAY,LA ROCHE POSAY,SERUM FPS30 1 50 ML,,CAM,,,
365301,FACE,ACNE,ACNE TREATMENT,LA ROCHE POSAY,LA ROCHE POSAY,TRA.C.AC.MIX 1 40 ML,,CAM,,,
365303,FACE,ACNE,ACNE TREATMENT,LA ROCHE POSAY,LA ROCHE POSAY,CREMA SPF30 1 40 ML,,CAM,,,
367400,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,SESDERMA,ANGIOSES GEL ANTIOJERAS,,MEXICO,,,
367500,SUN,SUN FACE,SUN FACE NON TINTED,GALDERMA,GALDERMA,ACTINICA LOC PROT SOLAR F50 80ML,Sensitive Skin/ basic sun protection,MEXICO,,,
376191,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,ADCOS,ADCOS STICK FILTRO SOLAR ULTRALEVE FPS50 INCOLOR 15 G x 1,"Others ( Face brushes, Compact, Sticks, etc)",BRASIL,,,
376192,SUN,SUN FACE,SUN FACE TINTED,OTROS LAB,ADCOS,ADCOS STICK FILTRO SOLAR ULTRALEVE FPS50 NUDE 15 G x 1,"Others ( Face brushes, Compact, Sticks, etc)",BRASIL,,,
383010,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SKINCEUTICALS,PHLORETIN CF KIT LIQUIDO 30ML GANHE NECESSAIRE GRATIS 30 ML x 1,,BRASIL,,,
385602,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,RESTO,DERMACEUTIC KIT 21 DIAS PIGMENT SPOT 30ML C/,,MEXICO,,,
385603,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,DERMACEUTIC CRA MASK 10ML,,MEXICO,,,
385604,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,RESTO,DERMACEUTIC KIT 21 DIAS AGE DEFENSE 30ML+15M,,MEXICO,,,
385605,FACE,ACNE,ACNE CLEANS,OTROS LAB,RESTO,DERMACEUTIC MOUSSE EXFOL FOAMER 15 30ML,,MEXICO,,,
385606,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,DERMACEUTIC KIT 21 DIAS ACNE PRONE MASC+30ML,,MEXICO,,,
385607,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,RESTO,DERMACEUTIC CRA ADVANCED CLEANSER 150ML,,MEXICO,,,
390500,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,RESTO,PIGMENTBIO CRA FOAM EXFOL 200ML,,MEXICO,,,
390501,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,RESTO,PIGMENTBIO AGUA MICELAR H2O 250ML,,MEXICO,,,
390502,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,RESTO,PIGMENTBIO CRA DAILY CARE F50 40ML,,MEXICO,,,
390503,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,RESTO,PIGMENTBIO CRA NIGHT RENEW 50ML,,MEXICO,,,
390504,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,RESTO,PIGMENTBIO SERUM C-CONCETRATE 15ML,,MEXICO,,,
390505,BODY,BODY TREATMENT,BODY EVEN-SKIN,OTROS LAB,RESTO,PIGMENTBIO CRA AREAS SENS 75ML,,MEXICO,,,
392601,BODY,BODY TREATMENT,DRY SKIN TREATMENT,CANEHAM,CANEHAM,LOC. 10 % 1 180 G,,CAM,,,
392602,BODY,BODY TREATMENT,DRY SKIN TREATMENT,CANEHAM,CANEHAM,CREMA 20 % 1 200 G,,CAM,,,
392603,BODY,BODY TREATMENT,DRY SKIN TREATMENT,CANEHAM,CANEHAM,CREMA 10 % 1 200 G,,CAM,,,
395358,SUN,SUN FACE,SUN FACE TINTED,MANTECORP,MANTECORP,EPISOL SMART COLOR LOCAO PROTETOR SOLAR FPS50 40 ML x 1,Sensitive Skin/ basic sun protection,BRASIL,,,
396767,FACE,SENSITIVE SKIN,SENSITIVE SKIN,LA ROCHE POSAY,LA ROCHE POSAY,CICAPLAST B5 SERUM 30 ML x 1,,BRASIL,,,
396769,FACE,ACNE,ACNE CLEANS,LA ROCHE POSAY,LA ROCHE POSAY,EFFACLAR KIT GEL ALTA TOLERANCIA 150G LEVE GRATIS 50G 190 G x 1,,BRASIL,,,
396776,FACE,ACNE,ACNE CLEANS,MANTECORP,MANTECORP,GLYCARE ESPUMA LIMPEZA SUAVE 150 ML x 1,,BRASIL,,,
397618,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,ESTHEDERM,INSTITUT ESTHEDERM SERUM FACIAL INTENSIVE VITAMINE C2 10 ML x 1,,BRASIL,,,
397619,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,ESTHEDERM,INSTITUT ESTHEDERM SERUM CORPORAL INTENSIVE GLAUSCINE 200 ML x 1,,BRASIL,,,
397674,FACE,ANTI-AGE,ANTI-AGE,EUCERIN,EUCERIN,EUCERIN HYALUR.FIL CREME CONTORNO DOS OLHOS FPS15 15 ML x 1,,BRASIL,,,
398699,SUN,SUN FACE,SUN FACE TINTED,OTROS LAB,ADATINA,ADA TINA MOUSSE PROTETOR SOLAR SOLEIZE MINERAL COM COR FPS66 30 ML x 1,Normal to Acne Prone Skin,BRASIL,,,
398701,SUN,SUN FACE,SUN FACE TINTED,OTROS LAB,ADATINA,ADA TINA SERUM BASE LIQUIDA BIO IDENTIQUE FPS75 VANIGLIA 30 ML x 1,Normal to Acne Prone Skin,BRASIL,,,
398702,FACE,ACNE,ACNE CLEANS,OTROS LAB,ADATINA,DEPORE GEL LIMPEZA PROFUNDA CONCENTRATE 250 ML x 1,,BRASIL,,,
398705,SUN,SUN FACE,SUN FACE TINTED,OTROS LAB,ADCOS,ADCOS STICK PROTETOR SOLAR TONALIZANTE PECAN FPS80 12 G x 1,"Others ( Face brushes, Compact, Sticks, etc)",BRASIL,,,
398707,SUN,SUN FACE,SUN FACE TINTED,OTROS LAB,ADCOS,ADCOS PO COMPACTO+ACIDO HIALURONICO FPS50 BEIGE REFIL 11 G x 1,"Others ( Face brushes, Compact, Sticks, etc)",BRASIL,,,
398709,SUN,SUN FACE,SUN FACE TINTED,OTROS LAB,ADCOS,ADCOS F AQUA FLUID FLUIDO ANTIOLEOSIDADE PEACH FPS50 50 ML x 1,Aqua- Fluid Formulas sun protection,BRASIL,,,
398710,SUN,SUN FACE,SUN FACE TINTED,OTROS LAB,ADCOS,ADCOS F AQUA FLUID FLUIDO ANTIOLEOSIDADE NUDE FPS50 50 ML x 1,Aqua- Fluid Formulas sun protection,BRASIL,,,
398711,SUN,SUN FACE,SUN FACE TINTED,OTROS LAB,ADCOS,ADCOS F AQUA FLUID FLUIDO ANTIOLEOSIDADE BEIGE FPS50 50 ML x 1,Aqua- Fluid Formulas sun protection,BRASIL,,,
398725,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,DARROW,ACTINE SOLAR EMULSAO TOQUE SECO SEM COR FPS30 40 G x 1,Normal to Acne Prone Skin,BRASIL,,,
398745,SUN,SUN BODY,SUN BODY,ISDIN,ISDIN,FOTOPROTETOR ISDIN GEL CREME FUSION SPORT FPS50+ 89.5 G x 1,,BRASIL,,,
406300,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,RESTO,MD CEUTICALS AMP COMPLEX MELANOCEUT DESPIG 7M,,MEXICO,,,
406305,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,RESTO,MD CEUTICALS AMPS PEEL INTIMATE WHITE 7ML C/5,,MEXICO,,,
406307,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,MD CEUTICALS SERUM AZELAIC 17% SALICYLIC 50ML,,MEXICO,,,
406308,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,MEDISUPPLY,MD CEUTICALS AMPS COCKTAIL POT TRAT SKINRECOV,,MEXICO,,,
406311,SUN,SUN FACE,SUN FACE TINTED,OTROS LAB,RESTO,MD CEUTICALS CRA BLOQ CC GLOW FLAWLESS F30 50,Normal to Acne Prone Skin,MEXICO,,,
406312,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,MEDISUPPLY,MD CEUTICALS CRA CONT/OJOS PHYTIC A/OXI 15ML,,MEXICO,,,
406313,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,MEDISUPPLY,MD CEUTICALS CRA X TREME SKIN RENEWAL ULTRA 5,,MEXICO,,,
406315,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,RESTO,MD CEUTICALS AMPS TRANEX RETIPEEL 2ML C/5PZS,,MEXICO,,,
406316,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,MD CEUTICALS SOL PEEL SALICYLIC 30% 50ML,,MEXICO,,,
406318,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,MEDISUPPLY,MD CEUTICALS SOL COMPLEX NCT-HYAL REVIT 5ML,,MEXICO,,,
406319,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,MEDISUPPLY,MD CEUTICALS AMP COCKTAIL SKINBOOSTER 2ML 10,,MEXICO,,,
406320,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,MEDISUPPLY,MD CEUTICALS SOL PHA E 10 BIONIC SUPER 40ML,,MEXICO,,,
406321,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,MD CEUTICALS SPRAY BIONIC E SKIN ACNE & SCAR,,MEXICO,,,
406322,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,MD CEUTICALS SOL PEEL MODIFIED JESSNER SALIC,,MEXICO,,,
406400,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,RESTO,ADERMA CUTALGAN SPRAY CALMING COOLING 100ML,,MEXICO,,,
406501,FACE,ACNE,ACNE TREATMENT,EUCERIN,BEIERSDORF,GEL.LIMPIAD. 6 % 1 200 M,,CAM,,,
406504,FACE,ACNE,ACNE TREATMENT,EUCERIN,BEIERSDORF,CREMA FACIAL 1 50 ML,,CAM,,,
